[23:50:51] [INFO] received Windows console close event; shutting log-core down
[03:15:16] [INFO] received Windows console close event; shutting log-core down
[22:02:58] [INFO] received Windows console close event; shutting log-core down
[22:04:10] [INFO] received Windows console close event; shutting log-core down
[22:23:18] [INFO] received Windows console close event; shutting log-core down
[22:24:00] [INFO] received Windows console close event; shutting log-core down
[22:26:49] [INFO] received Windows console close event; shutting log-core down
[22:30:46] [INFO] received Windows console close event; shutting log-core down
[23:33:19] [INFO] received Windows console close event; shutting log-core down
[23:37:25] [INFO] received Windows console close event; shutting log-core down
[23:38:25] [INFO] received Windows console close event; shutting log-core down
[01:38:02] [INFO] received Windows console close event; shutting log-core down
[01:58:54] [INFO] received Windows console close event; shutting log-core down
[02:05:40] [INFO] received Windows console close event; shutting log-core down
[02:06:58] [INFO] received Windows console close event; shutting log-core down
[02:08:48] [INFO] received Windows console close event; shutting log-core down
[02:11:40] [INFO] received Windows console close event; shutting log-core down
[02:12:40] [INFO] received Windows console close event; shutting log-core down
[02:14:47] [INFO] received Windows console close event; shutting log-core down
[02:16:04] [INFO] received Windows console close event; shutting log-core down
[02:35:06] [INFO] received Windows console close event; shutting log-core down
[15:50:17] [INFO] received Windows console close event; shutting log-core down
[16:00:25] [INFO] received Windows console close event; shutting log-core down
[16:02:13] [INFO] received Windows console close event; shutting log-core down
[16:40:46] [INFO] received Windows console close event; shutting log-core down
[17:30:22] [INFO] received Windows console close event; shutting log-core down
[17:36:38] [INFO] received Windows console close event; shutting log-core down
[19:05:33] [INFO] received Windows console close event; shutting log-core down
[23:14:25] [INFO] received Windows console close event; shutting log-core down
[23:17:48] [INFO] received Windows console close event; shutting log-core down
[23:27:39] [INFO] received Windows console close event; shutting log-core down
[23:29:37] [INFO] received Windows console close event; shutting log-core down
[23:38:35] [INFO] received Windows console close event; shutting log-core down
[23:39:29] [INFO] received Windows console close event; shutting log-core down
[00:39:29] [INFO] received Windows console close event; shutting log-core down
[00:42:13] [INFO] received Windows console close event; shutting log-core down
[00:43:46] [INFO] received Windows console close event; shutting log-core down
[00:44:38] [INFO] received Windows console close event; shutting log-core down
[00:45:34] [INFO] received Windows console close event; shutting log-core down
[00:46:24] [INFO] received Windows console close event; shutting log-core down
[00:48:31] [INFO] received Windows console close event; shutting log-core down
[00:49:41] [INFO] received Windows console close event; shutting log-core down
[00:51:07] [INFO] received Windows console close event; shutting log-core down
[00:52:35] [INFO] received Windows console close event; shutting log-core down
[00:53:56] [INFO] received Windows console close event; shutting log-core down
[00:55:56] [INFO] received Windows console close event; shutting log-core down
[00:57:36] [INFO] received Windows console close event; shutting log-core down
[00:59:03] [INFO] received Windows console close event; shutting log-core down
[01:00:35] [INFO] received Windows console close event; shutting log-core down
[01:01:12] [INFO] received Windows console close event; shutting log-core down
[01:02:03] [INFO] received Windows console close event; shutting log-core down
[01:03:32] [INFO] received Windows console close event; shutting log-core down
[01:04:04] [INFO] received Windows console close event; shutting log-core down
[01:05:20] [INFO] received Windows console close event; shutting log-core down
[01:07:35] [INFO] received Windows console close event; shutting log-core down
[01:08:33] [INFO] received Windows console close event; shutting log-core down
[01:12:11] [INFO] received Windows console close event; shutting log-core down
[01:13:02] [INFO] received Windows console close event; shutting log-core down
[01:16:19] [INFO] received Windows console close event; shutting log-core down
[01:17:53] [INFO] received Windows console close event; shutting log-core down
[01:22:13] [INFO] received Windows console close event; shutting log-core down
[01:23:02] [INFO] received Windows console close event; shutting log-core down
[01:24:23] [INFO] received Windows console close event; shutting log-core down
[01:26:20] [INFO] received Windows console close event; shutting log-core down
[01:28:45] [INFO] received Windows console close event; shutting log-core down
[01:30:49] [INFO] received Windows console close event; shutting log-core down
[01:31:22] [INFO] received Windows console close event; shutting log-core down
[01:35:02] [INFO] received Windows console close event; shutting log-core down
[01:44:53] [INFO] received Windows console close event; shutting log-core down
[14:46:03] [INFO] received Windows console close event; shutting log-core down
[18:01:56] [INFO] received Windows console close event; shutting log-core down
[18:03:10] [INFO] received Windows console close event; shutting log-core down
[18:06:40] [INFO] received Windows console close event; shutting log-core down
[18:10:06] [INFO] received Windows console close event; shutting log-core down
[18:14:19] [INFO] received Windows console close event; shutting log-core down
[18:15:30] [INFO] received Windows console close event; shutting log-core down
[18:25:26] [INFO] received Windows console close event; shutting log-core down
[18:59:54] [INFO] received Windows console close event; shutting log-core down
[19:02:38] [INFO] received Windows console close event; shutting log-core down
[19:03:55] [INFO] received Windows console close event; shutting log-core down
[19:04:35] [INFO] received Windows console close event; shutting log-core down
[19:05:52] [INFO] received Windows console close event; shutting log-core down
[19:08:21] [INFO] received Windows console close event; shutting log-core down
[19:10:45] [INFO] received Windows console close event; shutting log-core down
[19:14:10] [INFO] received Windows console close event; shutting log-core down
[19:15:08] [INFO] received Windows console close event; shutting log-core down
[19:23:09] [INFO] received Windows console close event; shutting log-core down
[19:26:38] [INFO] received Windows console close event; shutting log-core down
[19:29:22] [INFO] received Windows console close event; shutting log-core down
[19:30:19] [INFO] received Windows console close event; shutting log-core down
[19:32:00] [INFO] received Windows console close event; shutting log-core down
[19:32:47] [INFO] received Windows console close event; shutting log-core down
[19:33:55] [INFO] received Windows console close event; shutting log-core down
[19:39:18] [INFO] received Windows console close event; shutting log-core down
[19:41:14] [INFO] received Windows console close event; shutting log-core down
[19:43:23] [INFO] received Windows console close event; shutting log-core down
[19:43:25] [INFO] received Windows console close event; shutting log-core down
[19:44:32] [INFO] received Windows console close event; shutting log-core down
[19:48:42] [INFO] received Windows console close event; shutting log-core down
[19:52:11] [INFO] received Windows console close event; shutting log-core down
[20:35:28] [INFO] received Windows console close event; shutting log-core down
[01:03:02] [INFO] received Windows console close event; shutting log-core down
[01:24:31] [INFO] received Windows console close event; shutting log-core down
[01:31:10] [INFO] received Windows console close event; shutting log-core down
[01:35:14] [INFO] received Windows console close event; shutting log-core down
[01:45:46] [INFO] received Windows console close event; shutting log-core down
[01:54:10] [INFO] received Windows console close event; shutting log-core down
[01:58:02] [INFO] received Windows console close event; shutting log-core down
[02:01:47] [INFO] received Windows console close event; shutting log-core down
[02:16:35] [INFO] received Windows console close event; shutting log-core down
[02:20:33] [INFO] received Windows console close event; shutting log-core down
[02:21:42] [INFO] received Windows console close event; shutting log-core down
[02:24:26] [INFO] received Windows console close event; shutting log-core down
[02:25:36] [INFO] received Windows console close event; shutting log-core down
[02:28:32] [INFO] received Windows console close event; shutting log-core down
[02:30:36] [INFO] received Windows console close event; shutting log-core down
[02:38:13] [INFO] received Windows console close event; shutting log-core down
[02:39:21] [INFO] received Windows console close event; shutting log-core down
[02:41:28] [INFO] received Windows console close event; shutting log-core down
[02:48:00] [INFO] received Windows console close event; shutting log-core down
[02:51:40] [INFO] received Windows console close event; shutting log-core down
[02:57:02] [INFO] received Windows console close event; shutting log-core down
[03:14:22] [INFO] received Windows console close event; shutting log-core down
[03:26:05] [INFO] received Windows console close event; shutting log-core down
[03:26:07] [INFO] received Windows console close event; shutting log-core down
[03:28:37] [INFO] received Windows console close event; shutting log-core down
[03:28:38] [INFO] received Windows console close event; shutting log-core down
[03:30:02] [INFO] received Windows console close event; shutting log-core down
[03:31:47] [INFO] received Windows console close event; shutting log-core down
[03:36:05] [INFO] received Windows console close event; shutting log-core down
[03:38:16] [INFO] received Windows console close event; shutting log-core down
[03:40:01] [INFO] received Windows console close event; shutting log-core down
[03:48:01] [INFO] received Windows console close event; shutting log-core down
